atis
{'loss': 0.20981481061740356, 'intent_acc': 0.9857142857142858, 'slot_precision': 0.9260273972602739, 'slot_recall': 0.9420289855072463, 'slot_f1': 0.9339596573639126, 'sementic_frame_acc': 0.8342857142857143}
{'loss': 0.2161057252775539, 'intent_acc': 0.9857142857142858, 'slot_precision': 0.9237938596491229, 'slot_recall': 0.9392419175027871, 'slot_f1': 0.9314538419016031, 'sementic_frame_acc': 0.8357142857142857}
{'loss': 0.20258608257228677, 'intent_acc': 0.9871428571428571, 'slot_precision': 0.9237425635478637, 'slot_recall': 0.9520624303232998, 'slot_f1': 0.9376887180894866, 'sementic_frame_acc': 0.8342857142857143}
{'loss': 0.13471135632558304, 'intent_acc': 0.9957142857142857, 'slot_precision': 0.9210383991346673, 'slot_recall': 0.9492753623188406, 'slot_f1': 0.934943727696953, 'sementic_frame_acc': 0.8414285714285714}
{'loss': 0.1808887432244691, 'intent_acc': 0.9885714285714285, 'slot_precision': 0.9383599339570721, 'slot_recall': 0.9503901895206243, 'slot_f1': 0.9443367488230406, 'sementic_frame_acc': 0.8714285714285714}
{'loss': 0.16525151546705852, 'intent_acc': 0.9871428571428571, 'slot_precision': 0.9443219404630651, 'slot_recall': 0.9548494983277592, 'slot_f1': 0.9495565410199557, 'sementic_frame_acc': 0.8714285714285714}
{'loss': 0.2567740126766942, 'intent_acc': 0.9828571428571429, 'slot_precision': 0.945514584479912, 'slot_recall': 0.9576365663322185, 'slot_f1': 0.951536970368319, 'sementic_frame_acc': 0.8671428571428571}
{'loss': 0.21846252408894626, 'intent_acc': 0.9871428571428571, 'slot_precision': 0.9252032520325203, 'slot_recall': 0.9515050167224081, 'slot_f1': 0.9381698268755153, 'sementic_frame_acc': 0.8528571428571429}
{'loss': 0.22944520752538333, 'intent_acc': 0.9857142857142858, 'slot_precision': 0.9355191256830601, 'slot_recall': 0.9542920847268673, 'slot_f1': 0.944812362030905, 'sementic_frame_acc': 0.8771428571428571}
{'loss': 0.21791200102730232, 'intent_acc': 0.9871428571428571, 'slot_precision': 0.9411117226197028, 'slot_recall': 0.9531772575250836, 'slot_f1': 0.947106064801994, 'sementic_frame_acc': 0.8728571428571429}
{'loss': 0.17333778298713945, 'intent_acc': 0.9871428571428571, 'slot_precision': 0.9409817981246553, 'slot_recall': 0.9509476031215162, 'slot_f1': 0.9459384530080399, 'sementic_frame_acc': 0.8657142857142858}
{'loss': 0.21664792536334557, 'intent_acc': 0.9885714285714285, 'slot_precision': 0.9401427786930258, 'slot_recall': 0.9542920847268673, 'slot_f1': 0.94716459197787, 'sementic_frame_acc': 0.8828571428571429}
{'loss': 0.17597987909208646, 'intent_acc': 0.9885714285714285, 'slot_precision': 0.9519337016574586, 'slot_recall': 0.9604236343366778, 'slot_f1': 0.9561598224195338, 'sementic_frame_acc': 0.8957142857142857}
{'loss': 0.23111252283508127, 'intent_acc': 0.9842857142857143, 'slot_precision': 0.9459757442116868, 'slot_recall': 0.9565217391304348, 'slot_f1': 0.9512195121951219, 'sementic_frame_acc': 0.8828571428571429}
{'loss': 0.20997462523254481, 'intent_acc': 0.9871428571428571, 'slot_precision': 0.9343903772553308, 'slot_recall': 0.9526198439241917, 'slot_f1': 0.9434170576869997, 'sementic_frame_acc': 0.8671428571428571}
{'loss': 0.22449558092789215, 'intent_acc': 0.9885714285714285, 'slot_precision': 0.9509371554575524, 'slot_recall': 0.9615384615384616, 'slot_f1': 0.9562084257206209, 'sementic_frame_acc': 0.8942857142857142}
{'loss': 0.28340888768434525, 'intent_acc': 0.9828571428571429, 'slot_precision': 0.945364238410596, 'slot_recall': 0.9548494983277592, 'slot_f1': 0.9500831946755408, 'sementic_frame_acc': 0.8828571428571429}
